career_stage,primary_area,origin_region,work_region,llm_intelligence,llm_intelligence_future,agreement,supp_research_area,occupation,criteria,lacking_criteria,entity_intelligence,intelligence_tests,research_goals
"Research student (PhD, MPhil)",Other,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['Comp. Ling.'],"['Academia', 'Industry']","['Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Generalization']","['Perception', 'Knowledge acq.', 'Planning']","['Human', 'Ants', 'Amoebas']",['SAT/MSAT'],[]
Postdoc,Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",Unsure,"['AI', 'CSS', 'ML', 'Psychology']","['Academia', 'Government/non-profit']","['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Perception', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would disagree than agree,"['AI', 'Comp. Ling.', 'CSS', 'ML', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Knowledge acq.', 'Reasoning', 'Planning', 'Generalization', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Europe,Europe,Disagree,"No, I disagree",Unsure,[],['Academia'],"['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['IQ tests'],['Practically Useful']
Junior (faculty or industry),Machine Learning,Europe,Europe,Agree,,More would agree than disagree,['Other'],['Academia'],"['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Planning', 'Adaptability']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems']","['IQ tests', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['AI', 'Comp. Ling.', 'ML']",['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society']"
"Research student (PhD, MPhil)",Machine Learning,Europe,Europe,Strongly disagree,"No, I strongly disagree",Most would agree with me,['Mathematics'],['Academia'],"['Problem solving', 'Reasoning', 'Adaptability', 'Creativity']","['Env. interaction', 'Problem solving', 'Reasoning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),Machine Learning,America,America,Disagree,"No, I disagree",More would disagree than agree,"['AI', 'HCI', 'NLP', 'Psychology']","['Academia', 'Government/non-profit']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Problem solving', 'Goal Ach.', 'Planning']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Asia,America,Strongly disagree,"No, I strongly disagree",Unsure,['AI'],['Academia'],"['Reasoning', 'Creativity', 'Consciousness']","['Embodiment', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Artificial Intelligence,Asia,America,Disagree,"No, I disagree",More would agree than disagree,['Other'],['Academia'],"['Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Consciousness', 'Understanding']","['Human', 'Cats']","['Turing test', 'Generalization tests', 'Other (please specify)', 'I do not believe that we currently have such a test']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
